Omsk Омск
Vladivostok Владивосток
Moscow Москва
Smolensk Смоленск
Saratov Саратов
Kirov Киров
Lenina Ленина
Krasnodar Краснодар
Vsevolozhsk Всеволожск
Novgorod Новгороде
Narva Нарва
Kaliningrad Калининград
"Saint Petersburg" Санкт-Петербург
Rostov Ростов
Zelenogorsk Зеленогорск
Chelyabinsk Челябинск
Voronezh Воронеж
Penza Пенза
Kiev Киев
"Sankt Petersburg" Санкт-Петербург
"Lva Tolstogo" "Льва Толстого"
Volgograd Волгоград
Ulyanovsk Ульяновск
Vyazemskaya Вяземская
Novosibirsk Новосибирск
Almaz Алмаз
Moskau Москау
Domodedovo Домодедово
Moskva Москва
Surgut Сургут
Perm Пермь
Svobody Свободы
Kudymkar Кудымкар
Vologda Вологда
Krasnoyarsk Красноярск
Ozersk Озерск
Yaroslavl Ярославль
Kazan Казань
Tyumen Тюмень
Tushino Тушино
Serpukhov Серпухов
Dubna Дубна
Khabarovsk Хабаровск
Barnaul Барнаул
Leningrad Ленинградская
Yekaterinburg Екатеринбурге
Birobijan Биробиджан
Karpov Карпов
Nogina Ногина
Nova Нова
Minsk Минск
Spas Спас
Michurinsk Мичуринск
Tambov Тамбов
Yakutsk Якутск
Kaluga Калуга
Pionerskaya Пионерская
Ural Урал
Sovetskaya Советская
Alfa Альфа
Togliatti Тольятти
Irkutsk Иркутск
Stavropol Ставрополье
Kemerovo Кемерово
Sochi Сочи
Norilsk Норильск
Krasnogorsk Красногорск
Kommunar Коммунар
Step Шаг
Kislovodskaya Кисловодская
Petrograd Питерцев
Volgodonsk Волгодонск
"Nizhni Novgorod" "Нижний Новгород"
Pravda Правда
Magadan Магадан
Voloshin Волошин
Saransk Саранск
Lysva Лысьва
Cherepovets Череповец
Tula Тула
Arkhangelsk Архангельск
Syktyvkar Сыктывкар
Murmansk Мурманск
Lipetsk Липецк
Auri Аури
Vyatka Вятка
Vladimir Владимир
Pervouralsk Первоуральск
Tver Тверь
Novovoronezh Нововоронеж
Piter Питер
Tomsk Томск
Bolshakova Большакова
Sakhalin Сахалин
Yuzhno-Sakhalinsk Южно-Сахалинск
Cheboksary Чебоксары
Sverdlovsk Свердловская
Izhevsk Ижевск
Korsakova Корсакова
Engels Энгельс
Pushkin Пушкин
Krasnoarmeyskaya Красноармейская
Vladikavkaz Владикавказ
Korp Корп
Ust-Ilimsk Усть-Илимске
Rossiyskiy Российский
Buryat Бурятский
Sterlitamak Стерлитамак
Ulan-Ude Улан-Удэ
Pyshma Пышма
Nikolay Николай
Kurgan Курган
Kostikov Костиков
Orsk Орск
Leningradskaya Ленинградская
Pulkovo Пулково
Novorossiysk Новороссийск
Orenburg Оренбург
Magnitogorsk Магнитогорск
Gogolya Гоголя
Cherkessk Черкесске
Sankt-Peterburg Санкт-Петербург
Torgovyy Торговый
Sani Сани
Pskov Псков
Alba Альба
Amur Амур
Arkhyz Архыз
Svetloe Светлое
Simbirsk Симбирск
Bryansk Брянск
Serov Серов
Lebedev Лебедев
Mira Мира
Avangard Авангард
Moskovskiy Московский
Chita Чита
Tagil Тагил
Kamyshin Камышин
Novokuznetsk Новокузнецк
Ryazan Рязань
Miass Миасс
Mezhdurechensk Междуреченск
Kostroma Кострома
Maykop Майкопе
Fryazino Фрязино
Lobnya Лобня
Yoshkar-Ola Йошкар-Ола
Sredneuralsk Среднеуральск
Altaisk Алтайск
Gorod Город
Mirny Мирный
Petrozavodsk Петрозаводск
Kirova Кирова
Kaluzhskaya Калужская
Kirishi Кириши
Dolgoprudnyy Долгопрудный
Morskoy Морской
Petropavlovsk Петропавловск
Kyshtym Кыштым
Sarapul Сарапул
Votkinsk Воткинск
Polkovaya Полковая
Nekrasova Некрасова
Maslovka Масловка
Gagarina Гагарина
Achinsk Ачинск
Lenin Ленин
Ramenki Раменки
Nakhodka Находка
Severnaya Северная
Kirovskiy Кировский
Belogorsk Белогорск
Urengoy Уренгой
Vyborg Выборг
Tsvetnoy Цветной
Makhachkala Махачкала
Taganrog Таганрог
Svet Свет
Salda Салда
Abakan Абакан
Frunze Фрунзе
Semikarakorsk Семикаракорск
Saturn Сатурн
Start Начать
Gatchina Гатчина
Kotovsk Котовск
Archangelsk Архангельск
Sukhanova Суханова
Sheremetyevo Шереметьево
Tyumenskaya Тюменская
Kraft Крафт
Katerina Катерина
Potash Поташ
Polyanka Полянка
Yana Яна
Tatarstan Татарстан
Tiny Крошечные
Marks Знаки
Bratsk Братск
Malysheva Малышева
Budennogo Буденного
Ivanovo Иваново
Sputnik Спутник
Smolenskaya Смоленская
Saga Сага
Baranov Баранов
Most Большинство
Inel Инэл
Chapaevsk Чапаевск
Minusinsk Минусинск
Lunacharskogo Луначарского
Novorossisk Новороссийск
Vavilova Вавилова
Solnechnogorsk Солнечногорск
Kyzyl Кызыл
Kursk Курск
Luga Луга
Nort Норт
Severodvinsk Северодвинск
Archangel Архангел
Zheleznogorsk Железногорск
Kabardino Кабардино
Kavkaz Кавказ
Chaika Чайка
Obninsk Обнинск
Komsomolsk Комсомольск
Biysk Бийск
Kamensk Каменск
Pechora Печора
Chernogolovka Черноголовка
Vestnik Вестник
Krasnoyarskiy "Красноярский край"
Primorskiy Приморский
Vybor Выбор
Vorontsovskaya Воронцовская
Troitsk Троицк
Tupik Тупик
Moskovskaya Московская
Slavgorod Славгород
Volkhov Волхов
Dmitrovskoye Дмитровское
Novomichurinsk Новомичуринск
Pilenga Пиленга
Star Звезда
Polya Поля
Svoboda Свобода
Tverskaya Тверская
"Velikie Luki" "Великие Луки"
Sakharov Сахарова
Pyatigorsk Пятигорск
Primorye Приморье
Musy Мусий
Makarenko Макаренко
Orjonikidze Орджоникидзе
Fisher Фишер
Dubovaya Дубовая
Pisareva Писарева
Koptyuga Коптюга
Vostok Восток
Dzerzhinsk Дзержинск
Petrovskogo Петровского
Kubok Кубок
Reshetnikova Решетникова
Dolgopolov Долгополов
Novy Новый
Koloss Колосс
Veneta Венета
Luzhniki Лужники
Mayak Маяк
Promyshlennaya Промышленная
